,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,year2
0,1,"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83,2010.3546294891253
10,11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6,47,235,3,3,73,2010.7020283541099
20,21,Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,32,40,284,0,7,68,2010.1388478614958
30,31,3,Britney Spears,dance pop,2010,135,71,70,-2,14,79,213,5,5,62,2010.7626740417613
40,41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51,-4,12,72,185,47,27,58,2010.0958612321315
50,51,Hello,Martin Solveig,big room,2010,128,98,67,-3,10,45,191,1,3,0,2010.2791733867698
60,61,Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,69,-5,16,81,200,8,12,75,2011.5636048716499
70,71,Just Can't Get Enough,The Black Eyed Peas,dance pop,2011,94,63,66,-9,11,26,219,19,18,71,2011.1035253335433
80,81,Blow,Kesha,dance pop,2011,120,73,75,-4,7,81,220,0,4,64,2011.3926200419432
90,91,Papi,Jennifer Lopez,dance pop,2011,120,81,71,-5,37,89,223,13,6,58,2011.1468130289115
100,101,Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,50,-4,22,37,279,39,38,28,2011.3780140567612
110,111,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,11,66,193,1,4,76,2012.3293490794842
120,121,Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,60,-5,7,53,228,0,6,72,2012.817277399211
130,131,Turn Up the Music,Chris Brown,dance pop,2012,130,84,59,-6,16,64,228,0,10,65,2012.774432134478
140,141,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85,2013.3337415981953
150,151,Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,8,84,264,0,4,76,2013.8193013955918
